City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Porto Novo,BJ,80.6,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
8,Saint-Philippe,RE,87.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
10,Atuona,PF,79.63,broken clouds,-9.8,-139.0333,Villa Enata
11,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
29,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
34,Mahebourg,MU,86.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Souillac,MU,86.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
37,West Bay,KY,80.01,scattered clouds,19.3667,-81.4167,Calypso Cove
38,Faanui,PF,82.27,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Rikitea,PF,77.43,few clouds,-23.1203,-134.9692,Pension Maro'i
48,Mayumba,GA,80.17,broken clouds,-3.432,10.6554,LIKWALE LODGE
51,Ailigandi,PA,78.44,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
55,Padang,ID,89.6,light rain,-0.9492,100.3543,Mercure Padang
56,Kigoma,TZ,75.2,light rain,-4.8769,29.6267,Kigoma Hilltop Hotel
63,Bubaque,GW,75.27,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
64,Inhambane,MZ,84.2,light rain,-23.865,35.3833,Oceano
65,Bambous Virieux,MU,86.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
68,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
70,Namatanai,PG,84.52,broken clouds,-3.6667,152.4333,Namatanai Hotel
71,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
81,Tura,IN,77.52,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
91,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
92,Yeppoon,AU,89.6,scattered clouds,-23.1333,150.7333,Villa Mar Colina
94,Victoria,HK,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
95,Carnarvon,AU,86.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
99,Hithadhoo,MV,81.9,broken clouds,-0.6,73.0833,Scoop Guest House
105,Carutapera,BR,76.66,broken clouds,-1.195,-46.02,Lidera
110,Cayenne,GF,75.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
111,Bambanglipuro,ID,84.9,overcast clouds,-7.95,110.2833,Puri Brata
114,Sambava,MG,85.8,broken clouds,-14.2667,50.1667,Melrose
116,Hambantota,LK,87.8,few clouds,6.1241,81.1185,Bungalow 63
120,Iralaya,HN,77.14,clear sky,15.0,-83.2333,Iglesia morava renovada
123,Vetapalem,IN,82.31,overcast clouds,15.7833,80.3167,Dasul Urdu Hostel
124,Pandan,PH,81.77,broken clouds,14.0453,124.1694,Bonifacio Lodge
128,Takoradi,GH,79.0,overcast clouds,4.8845,-1.7554,Raybow International Hotel
129,Muisne,EC,76.33,moderate rain,0.6,-80.0333,Quinta Samay
