City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Plettenberg Bay,ZA,-34.0527,23.3716,72.46,68,0,9.04,clear sky
1,Porto Novo,BJ,6.4965,2.6036,80.6,94,40,3.44,scattered clouds
2,Cherskiy,RU,68.75,161.3,-5.03,82,0,3.56,clear sky
3,Port Lincoln,AU,-34.7333,135.8667,65.07,65,10,14.23,clear sky
4,Henties Bay,NA,-22.116,14.2845,64.0,89,100,3.0,overcast clouds
5,Aksarka,RU,66.5606,67.7975,-26.39,85,100,25.81,light snow
6,Mataura,NZ,-46.1927,168.8643,70.27,66,0,3.56,clear sky
7,Chuy,UY,-33.6971,-53.4616,63.68,88,0,5.03,clear sky
8,Saint-Philippe,RE,-21.3585,55.7679,87.8,62,0,10.36,clear sky
9,Ulladulla,AU,-35.35,150.4667,73.4,64,75,12.66,broken clouds
10,Atuona,PF,-9.8,-139.0333,79.63,78,81,23.42,broken clouds
11,Vaini,TO,-21.2,-175.2,78.8,94,75,10.36,light rain
12,Arraial Do Cabo,BR,-22.9661,-42.0278,74.3,83,100,3.33,overcast clouds
13,Kirovskiy,RU,45.0917,133.5136,3.51,91,100,5.17,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,-43.01,66,1,3.44,mist
15,Ushuaia,AR,-54.8,-68.3,44.6,81,75,8.05,broken clouds
16,San Vicente,AR,-26.6167,-54.1333,55.71,92,1,3.96,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,46.4,81,0,10.36,clear sky
18,New Norfolk,AU,-42.7826,147.0587,64.4,36,20,14.97,few clouds
19,Tapes,BR,-30.6733,-51.3958,65.77,80,0,6.76,clear sky
20,Tashtyp,RU,52.7939,89.8983,32.11,93,62,1.25,broken clouds
21,Rorvik,NO,64.8621,11.2373,23.16,91,1,6.73,clear sky
22,Great Bend,US,38.3645,-98.7648,10.4,85,90,12.66,light snow
23,Potsdam,DE,52.3989,13.0657,23.0,71,100,1.99,light snow
24,Chokurdakh,RU,70.6333,147.9167,-27.27,84,0,5.32,clear sky
25,Oswego,US,43.4501,-76.1497,14.0,67,1,7.49,clear sky
26,Walvis Bay,NA,-22.9575,14.5053,64.0,88,34,9.22,scattered clouds
27,Redmond,US,47.674,-122.1215,44.01,79,75,10.2,broken clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,64.99,82,40,6.91,scattered clouds
29,Butaritari,KI,3.0707,172.7902,81.45,79,58,19.57,broken clouds
30,Arkhara,RU,49.4212,130.0842,-6.5,89,92,9.8,overcast clouds
31,Saint Anthony,US,45.0205,-93.218,-9.4,64,1,6.91,clear sky
32,Fairbanks,US,64.8378,-147.7164,-4.0,77,90,3.24,light snow
33,Kapaa,US,22.0752,-159.319,66.2,68,75,4.61,broken clouds
34,Mahebourg,MU,-20.4081,57.7,86.0,66,40,12.66,scattered clouds
35,San Patricio,US,28.017,-97.5169,60.8,51,1,14.97,clear sky
36,Souillac,MU,-20.5167,57.5167,86.0,66,40,12.66,scattered clouds
37,West Bay,KY,19.3667,-81.4167,80.01,77,38,1.99,scattered clouds
38,Faanui,PF,-16.4833,-151.75,82.27,71,0,8.34,clear sky
39,Coihaique,CL,-45.5752,-72.0662,59.0,58,75,14.97,broken clouds
40,Hermanus,ZA,-34.4187,19.2345,66.0,93,95,10.96,overcast clouds
41,Cape Town,ZA,-33.9258,18.4232,71.01,73,75,18.41,broken clouds
42,Jamestown,US,42.097,-79.2353,15.8,57,20,8.05,few clouds
43,Broome,US,42.2506,-75.833,21.2,42,1,3.44,clear sky
44,Severo-Kurilsk,RU,50.6789,156.125,22.28,92,100,20.67,overcast clouds
45,Tessalit,ML,20.1986,1.0114,65.59,28,100,9.82,overcast clouds
46,Qaanaaq,GL,77.484,-69.3632,10.54,88,100,0.56,overcast clouds
47,Rikitea,PF,-23.1203,-134.9692,77.43,76,16,13.15,few clouds
48,Mayumba,GA,-3.432,10.6554,80.17,81,63,2.28,broken clouds
49,Provideniya,RU,64.3833,-173.3,-2.78,85,0,9.71,clear sky
50,Port Hedland,AU,-20.3167,118.5667,91.4,52,0,16.11,clear sky
51,Ailigandi,PA,9.2333,-78.0167,78.44,86,100,8.12,overcast clouds
52,Hobart,AU,-42.8794,147.3294,64.4,36,20,14.97,few clouds
53,Ribeira Grande,PT,38.5167,-28.7,61.05,89,100,20.02,light rain
54,Moron,AR,-34.6534,-58.6198,73.99,91,0,1.01,clear sky
55,Padang,ID,-0.9492,100.3543,89.6,58,20,9.22,light rain
56,Kigoma,TZ,-4.8769,29.6267,75.2,83,20,3.02,light rain
57,Saskylakh,RU,71.9167,114.0833,-40.59,78,20,8.77,few clouds
58,Necochea,AR,-38.5473,-58.7368,57.0,88,100,7.81,overcast clouds
59,Brae,GB,60.3964,-1.353,33.8,55,90,17.27,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,73.0,78,45,7.0,scattered clouds
61,Georgetown,MY,5.4112,100.3354,95.0,43,20,6.91,few clouds
62,Nome,US,64.5011,-165.4064,15.8,73,90,3.71,overcast clouds
63,Bubaque,GW,11.2833,-15.8333,75.27,51,3,24.87,clear sky
64,Inhambane,MZ,-23.865,35.3833,84.2,74,20,2.3,light rain
65,Bambous Virieux,MU,-20.3428,57.7575,86.0,66,40,12.66,scattered clouds
66,Nikolskoye,RU,59.7035,30.7861,12.2,85,75,20.13,snow
67,Guymon,US,36.6828,-101.4816,21.2,93,90,10.36,overcast clouds
68,Avarua,CK,-21.2078,-159.775,78.8,89,75,3.44,light rain
69,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,100,2.3,overcast clouds
70,Namatanai,PG,-3.6667,152.4333,84.52,69,84,6.78,broken clouds
71,Olinda,BR,-8.0089,-34.8553,78.8,73,40,3.44,scattered clouds
72,Vestmannaeyjar,IS,63.4427,-20.2734,36.84,80,69,21.85,broken clouds
73,Leh,IN,34.1667,77.5833,20.7,62,0,1.54,clear sky
74,Castro,BR,-24.7911,-50.0119,57.87,89,95,7.65,overcast clouds
75,Ocos,GT,14.5094,-92.1933,62.01,95,0,6.24,clear sky
76,Shkurinskaya,RU,46.5858,39.3599,27.34,84,33,8.34,scattered clouds
77,Tasiilaq,GL,65.6145,-37.6368,32.0,59,40,17.27,scattered clouds
78,Busselton,AU,-33.65,115.3333,62.01,93,100,3.0,moderate rain
79,Yumen,CN,40.2833,97.2,43.9,39,100,2.35,overcast clouds
80,Grindavik,IS,63.8424,-22.4338,33.8,60,0,16.11,clear sky
81,Tura,IN,25.5198,90.2201,77.52,29,1,4.92,clear sky
82,Oum Hadjer,TD,13.2954,19.6966,66.49,25,2,12.5,clear sky
83,Hilo,US,19.7297,-155.09,69.8,68,20,4.61,few clouds
84,Kununurra,AU,-15.7667,128.7333,91.4,66,40,8.05,scattered clouds
85,Guider,CM,9.9342,13.9486,73.0,20,80,5.53,broken clouds
86,Norman Wells,CA,65.282,-126.8329,-25.6,68,75,3.44,broken clouds
87,Sobolevo,RU,54.4299,31.8996,-2.61,92,0,8.99,clear sky
88,Sohag,EG,26.557,31.6948,53.6,76,0,6.91,clear sky
89,Buenos Aires,AR,-34.6132,-58.3772,73.0,94,75,11.5,broken clouds
90,Albany,US,42.6001,-73.9662,19.0,58,100,0.6,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,46,1.01,scattered clouds
92,Yeppoon,AU,-23.1333,150.7333,89.6,66,40,10.36,scattered clouds
