City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alice Springs,AU,2021-02-07 18:04:50,-23.7,133.8833,77.0,35,29,4.61
1,Busselton,AU,2021-02-07 18:06:33,-33.65,115.3333,63.0,99,100,9.13
2,Saint-Joseph,RE,2021-02-07 18:06:33,-21.3667,55.6167,80.6,78,32,4.61
3,Beaupre,CA,2021-02-07 18:06:34,47.0443,-70.8953,24.8,39,95,1.14
4,Hobart,AU,2021-02-07 18:04:19,-42.8794,147.3294,53.6,62,40,5.75
5,Ushuaia,AR,2021-02-07 18:01:35,-54.8,-68.3,57.2,54,0,16.11
6,Registro,BR,2021-02-07 18:06:34,-24.4875,-47.8436,84.49,47,50,7.16
7,Voznesenye,RU,2021-02-07 18:06:34,61.0106,35.4781,-2.13,90,55,3.87
8,Hithadhoo,MV,2021-02-07 18:06:34,-0.6,73.0833,81.97,71,14,8.9
9,Rikitea,PF,2021-02-07 18:06:34,-23.1203,-134.9692,77.38,72,96,12.06
10,Nanortalik,GL,2021-02-07 18:03:13,60.1432,-45.2371,32.61,87,100,15.08
11,Te Anau,NZ,2021-02-07 18:02:02,-45.4167,167.7167,54.75,80,99,2.73
12,Morwell,AU,2021-02-07 18:06:35,-38.2333,146.4,55.0,80,30,2.42
13,Mason City,US,2021-02-07 18:06:35,43.1536,-93.201,-4.0,59,75,10.36
14,Albany,US,2021-02-07 18:06:35,42.6001,-73.9662,28.99,75,100,4.45
15,Laguna,US,2021-02-07 18:03:28,38.421,-121.4238,54.0,87,1,4.0
16,Mataura,NZ,2021-02-07 18:06:35,-46.1927,168.8643,50.36,86,84,1.9
17,Dikson,RU,2021-02-07 18:06:35,73.5069,80.5464,-30.84,85,89,11.7
18,Yar-Sale,RU,2021-02-07 18:06:36,66.8333,70.8333,-10.75,90,100,24.85
19,Flinders,AU,2021-02-07 18:03:21,-34.5833,150.8552,66.0,81,71,1.01
20,Butaritari,KI,2021-02-07 18:06:36,3.0707,172.7902,80.64,81,43,18.21
21,Mar Del Plata,AR,2021-02-07 18:02:31,-38.0023,-57.5575,63.0,100,90,12.66
22,Mabaruma,GY,2021-02-07 18:06:36,8.2,-59.7833,77.38,88,99,5.26
23,Saint-Philippe,RE,2021-02-07 18:06:36,-21.3585,55.7679,80.6,78,34,4.61
24,Vaini,TO,2021-02-07 18:02:48,-21.2,-175.2,78.8,89,75,12.66
25,Quelimane,MZ,2021-02-07 18:06:37,-17.8786,36.8883,84.2,79,75,5.75
26,Buala,SB,2021-02-07 18:06:37,-8.145,159.5921,79.56,82,80,5.3
27,Bodden Town,KY,2021-02-07 18:06:37,19.2833,-81.25,86.0,66,20,11.5
28,Kavieng,PG,2021-02-07 18:04:46,-2.5744,150.7967,82.56,75,66,7.45
29,Churapcha,RU,2021-02-07 18:06:37,62.0025,132.4325,-36.8,82,0,2.62
30,Nikolskoye,RU,2021-02-07 18:06:37,59.7035,30.7861,15.8,92,75,8.95
31,Acarau,BR,2021-02-07 18:06:37,-2.8856,-40.12,87.91,58,6,17.18
32,Kaitangata,NZ,2021-02-07 18:06:37,-46.2817,169.8464,59.0,94,61,4.0
33,Ternate,ID,2021-02-07 18:06:37,0.8,127.4,81.21,78,71,5.53
34,Bluff,NZ,2021-02-07 18:04:41,-46.6,168.3333,54.05,85,100,5.1
35,Mandan,US,2021-02-07 18:06:38,46.8267,-100.8896,-7.6,70,40,4.61
36,Xuddur,SO,2021-02-07 18:06:38,4.1213,43.8894,78.64,37,0,8.23
37,Faanui,PF,2021-02-07 18:06:38,-16.4833,-151.75,81.1,74,5,11.88
38,Taoudenni,ML,2021-02-07 18:04:57,22.6783,-3.9836,69.33,23,0,8.41
39,Comal,US,2021-02-07 18:06:38,29.8169,-98.3003,61.0,51,3,4.0
40,Punta Arenas,CL,2021-02-07 18:01:46,-53.15,-70.9167,64.4,27,0,12.66
41,Greenville,US,2021-02-07 18:06:39,35.6127,-77.3663,44.01,81,75,12.66
42,Souillac,MU,2021-02-07 18:06:39,-20.5167,57.5167,80.6,74,20,10.36
43,Kapaa,US,2021-02-07 18:04:42,22.0752,-159.319,60.8,77,1,4.61
44,Pevek,RU,2021-02-07 18:02:59,69.7008,170.3133,-6.29,86,0,1.86
45,Thompson,CA,2021-02-07 18:02:20,55.7435,-97.8558,-32.8,61,75,17.27
46,Maceio,BR,2021-02-07 18:06:39,-9.6658,-35.7353,87.8,62,40,14.97
47,Port Alfred,ZA,2021-02-07 18:06:39,-33.5906,26.891,66.99,95,70,11.81
48,Surt,LY,2021-02-07 18:06:40,31.2089,16.5887,72.45,26,100,16.78
49,Bredasdorp,ZA,2021-02-07 18:03:19,-34.5322,20.0403,69.8,56,59,9.22
50,Abu Dhabi,AE,2021-02-07 18:06:22,24.4667,54.3667,71.6,73,0,4.61
51,Balabac,PH,2021-02-07 18:06:40,7.9868,117.0645,80.28,82,100,9.13
52,Castro,BR,2021-02-07 18:03:00,-24.7911,-50.0119,75.94,45,0,4.23
53,Jamestown,US,2021-02-07 18:06:40,42.097,-79.2353,19.99,73,90,17.27
54,Puerto Ayora,EC,2021-02-07 18:04:38,-0.7393,-90.3518,84.2,70,0,17.27
55,Airai,TL,2021-02-07 18:03:16,-8.9266,125.4092,60.55,100,100,2.73
56,Guerrero Negro,MX,2021-02-07 18:06:40,27.9769,-114.0611,71.56,23,0,5.1
57,Longyearbyen,SJ,2021-02-07 18:01:43,78.2186,15.6401,15.8,73,75,19.57
58,Kidal,ML,2021-02-07 18:03:53,18.4411,1.4078,74.55,19,100,1.72
59,Rovaniemi,FI,2021-02-07 18:01:53,66.5,25.7167,12.2,92,0,9.22
60,Gigmoto,PH,2021-02-07 18:06:41,13.7796,124.39,78.53,83,99,15.97
61,Ahipara,NZ,2021-02-07 18:06:41,-35.1667,173.1667,59.5,89,58,7.25
62,Okhtyrka,UA,2021-02-07 18:06:41,50.3104,34.8988,6.19,92,88,4.14
63,Damghan,IR,2021-02-07 18:06:41,36.1683,54.348,50.86,62,100,4.27
64,Saldanha,ZA,2021-02-07 18:06:41,-33.0117,17.9442,69.8,56,0,24.16
65,Sao Filipe,CV,2021-02-07 18:02:21,14.8961,-24.4956,71.33,71,84,15.17
66,Virginia Beach,US,2021-02-07 18:03:56,36.8529,-75.978,39.99,91,100,3.0
67,Three Hills,CA,2021-02-07 18:06:42,51.7001,-113.2686,-22.0,67,0,2.3
68,Avarua,CK,2021-02-07 18:04:52,-21.2078,-159.775,78.8,89,1,3.44
69,Cherskiy,RU,2021-02-07 18:04:35,68.75,161.3,-4.5,71,10,1.28
70,Goderich,CA,2021-02-07 18:06:42,43.7501,-81.7165,10.4,67,99,16.11
71,Picton,AU,2021-02-07 18:06:42,-34.1833,150.6,66.0,78,95,1.99
72,Cape Town,ZA,2021-02-07 18:06:02,-33.9258,18.4232,69.8,60,0,24.16
73,Hermanus,ZA,2021-02-07 18:06:43,-34.4187,19.2345,68.0,73,38,6.35
74,Savannah Bight,HN,2021-02-07 18:06:43,16.45,-85.85,82.4,78,20,10.58
75,Narsaq,GL,2021-02-07 18:06:43,60.9167,-46.05,37.4,30,90,47.18
76,Nome,US,2021-02-07 18:03:11,64.5011,-165.4064,-5.8,84,1,4.43
77,Corpus Christi,US,2021-02-07 18:06:43,27.8006,-97.3964,70.0,49,1,12.66
78,Sohag,EG,2021-02-07 18:06:43,26.557,31.6948,68.0,49,0,4.61
79,Yellowknife,CA,2021-02-07 18:02:01,62.456,-114.3525,-47.2,66,1,3.44
80,Khatanga,RU,2021-02-07 18:06:44,71.9667,102.5,-31.58,79,0,9.4
81,Nioro,GM,2021-02-07 18:04:06,13.35,-15.75,92.53,11,49,11.14
82,Jidong,CN,2021-02-07 18:06:44,45.2167,131.0833,-11.31,87,19,6.35
83,Saint-Marc-Des-Carrieres,CA,2021-02-07 18:06:44,46.6834,-72.0491,23.0,54,100,9.22
84,Lebu,CL,2021-02-07 18:06:44,-37.6167,-73.65,64.65,75,86,7.61
85,Tuktoyaktuk,CA,2021-02-07 18:06:44,69.4541,-133.0374,-23.8,76,75,14.97
86,Yerbogachen,RU,2021-02-07 18:06:44,61.2767,108.0108,17.35,97,100,5.95
87,Mahebourg,MU,2021-02-07 18:02:44,-20.4081,57.7,80.6,74,20,10.36
88,Patiya,BD,2021-02-07 18:06:45,22.2931,91.9762,59.7,56,0,5.75
89,Broken Hill,AU,2021-02-07 18:06:45,-31.95,141.4333,64.4,45,0,9.22
90,Bethel,US,2021-02-07 18:02:57,41.3712,-73.414,28.0,93,90,8.05
91,Lashio,MM,2021-02-07 18:06:45,22.9333,97.75,52.84,98,1,1.83
92,Fortuna,US,2021-02-07 18:05:09,40.5982,-124.1573,48.0,93,90,6.91
93,Carnarvon,AU,2021-02-07 18:04:38,-24.8667,113.6333,78.8,100,40,13.8
94,Santa Maria Del Oro,MX,2021-02-07 18:06:45,25.9333,-105.3667,67.33,22,100,4.23
95,San Cristobal,VE,2021-02-07 18:06:45,7.7669,-72.225,87.8,51,40,9.22
96,Zhezkazgan,KZ,2021-02-07 18:06:45,47.8043,67.7144,25.18,98,100,16.98
97,Angoche,MZ,2021-02-07 18:06:46,-16.2325,39.9086,81.03,82,29,7.02
98,Atuona,PF,2021-02-07 18:04:48,-9.8,-139.0333,79.43,74,48,21.7
99,Oranjemund,NA,2021-02-07 18:06:46,-28.55,16.4333,64.98,77,6,23.35
100,Abu Samrah,SY,2021-02-07 18:06:46,35.3029,37.1841,54.3,78,0,8.16
101,Pietroasa,RO,2021-02-07 18:06:46,46.5833,22.55,45.0,93,90,1.14
102,Hervey Bay,AU,2021-02-07 18:05:46,-25.2986,152.8535,80.01,86,49,3.0
103,Bambous Virieux,MU,2021-02-07 18:06:46,-20.3428,57.7575,80.6,74,20,10.36
104,Haines Junction,CA,2021-02-07 18:04:48,60.7522,-137.5108,-29.2,68,45,1.14
105,Gao,ML,2021-02-07 18:02:20,16.6362,1.637,82.56,14,96,5.28
106,Barrow,US,2021-02-07 18:05:01,71.2906,-156.7887,-22.0,76,90,10.36
107,Kota Kinabalu,MY,2021-02-07 18:06:30,5.9749,116.0724,78.8,94,20,2.3
108,Tiksi,RU,2021-02-07 18:06:47,71.6872,128.8694,-28.34,83,66,3.4
109,Ust-Tsilma,RU,2021-02-07 18:06:47,65.441,52.1498,-23.46,84,100,10.13
110,Touros,BR,2021-02-07 18:06:48,-5.1989,-35.4608,87.8,58,40,17.27
111,Puerto Escondido,MX,2021-02-07 18:03:10,15.85,-97.0667,84.2,74,40,9.22
112,Dilla,ET,2021-02-07 18:06:48,6.41,38.31,66.07,57,57,5.86
113,Arraial Do Cabo,BR,2021-02-07 18:06:48,-22.9661,-42.0278,77.0,83,75,5.75
114,Kinablangan,PH,2021-02-07 18:06:48,7.6947,126.5503,76.75,88,100,4.56
115,Lompoc,US,2021-02-07 18:02:33,34.6391,-120.4579,60.01,71,1,3.44
116,Lomovka,RU,2021-02-07 18:06:48,53.9194,58.3672,-0.4,65,40,8.95
117,New Norfolk,AU,2021-02-07 18:02:02,-42.7826,147.0587,53.6,62,40,5.75
118,Nantucket,US,2021-02-07 18:06:49,41.2835,-70.0995,34.0,100,90,12.66
119,Saskylakh,RU,2021-02-07 18:02:51,71.9167,114.0833,-38.09,78,27,11.72
120,Vestmanna,FO,2021-02-07 18:06:49,62.1564,-7.1664,35.6,75,40,13.8
121,Bhikhi,IN,2021-02-07 18:06:49,30.0667,75.5333,52.38,56,0,2.04
122,Tasiilaq,GL,2021-02-07 18:06:49,65.6145,-37.6368,19.4,58,0,2.3
123,Kruisfontein,ZA,2021-02-07 18:06:49,-34.0033,24.7314,64.99,93,100,4.0
124,Hovd,MN,2021-02-07 18:02:15,48.0056,91.6419,13.84,86,90,1.39
125,Coquimbo,CL,2021-02-07 18:06:50,-29.9533,-71.3436,69.8,56,0,11.5
126,Alugan,PH,2021-02-07 18:06:50,12.2188,125.4808,79.56,85,100,17.16
127,Roebourne,AU,2021-02-07 18:06:50,-20.7833,117.1333,78.49,69,3,11.14
128,Mount Isa,AU,2021-02-07 18:06:50,-20.7333,139.5,78.8,94,75,6.91
129,Castilho,BR,2021-02-07 18:06:50,-20.8722,-51.4875,83.01,55,31,4.25
130,Chuy,UY,2021-02-07 18:06:51,-33.6971,-53.4616,76.53,60,1,9.64
131,Evensk,RU,2021-02-07 18:02:56,61.95,159.2333,18.52,83,100,34.94
132,Oros,BR,2021-02-07 18:06:51,-6.2444,-38.9136,99.28,23,97,6.04
133,Vestmannaeyjar,IS,2021-02-07 18:05:25,63.4427,-20.2734,35.6,80,40,25.32
134,Fort Nelson,CA,2021-02-07 18:06:51,58.8053,-122.7002,-36.4,74,40,2.3
135,Urucara,BR,2021-02-07 18:06:51,-2.5364,-57.76,85.05,74,97,3.29
136,Birao,CF,2021-02-07 18:06:51,10.2849,22.7882,70.63,22,78,6.15
137,Namibe,AO,2021-02-07 18:06:21,-15.1961,12.1522,73.09,77,97,6.13
138,Salinopolis,BR,2021-02-07 18:06:52,-0.6136,-47.3561,81.43,83,65,10.63
139,Sabha,LY,2021-02-07 18:06:52,27.0377,14.4283,74.23,16,93,15.32
140,Iqaluit,CA,2021-02-07 18:06:52,63.7506,-68.5145,26.6,68,75,19.57
141,Sitka,US,2021-02-07 18:03:19,57.0531,-135.33,30.2,47,1,5.75
142,Bilma,NE,2021-02-07 18:06:52,18.6853,12.9164,68.68,21,75,5.28
143,Georgetown,MY,2021-02-07 18:06:52,5.4112,100.3354,82.4,83,20,3.44
144,Panjab,AF,2021-02-07 18:06:52,34.388,67.0233,23.61,82,37,1.54
145,Kodiak,US,2021-02-07 18:02:54,57.79,-152.4072,26.6,68,1,4.61
146,Cabo San Lucas,MX,2021-02-07 18:01:54,22.8909,-109.9124,77.0,52,40,4.05
147,Saint George,US,2021-02-07 18:02:38,37.1041,-113.5841,44.6,36,1,3.44
148,Broome,US,2021-02-07 18:03:18,42.2506,-75.833,33.01,93,90,6.91
149,Bambari,CF,2021-02-07 18:06:53,5.768,20.6757,80.94,16,22,2.77
150,Qaanaaq,GL,2021-02-07 18:06:53,77.484,-69.3632,11.64,87,99,4.79
151,Port Blair,IN,2021-02-07 18:06:53,11.6667,92.75,78.6,79,0,9.04
152,Kahului,US,2021-02-07 18:05:06,20.8947,-156.47,68.0,77,20,5.75
153,Zakamensk,RU,2021-02-07 18:06:53,50.3741,103.2863,1.6,87,10,3.76
154,Isangel,VU,2021-02-07 18:06:54,-19.55,169.2667,77.41,79,40,4.92
155,Gueret,FR,2021-02-07 18:04:25,46.1667,1.8667,39.2,87,75,5.75
156,Dingle,PH,2021-02-07 18:06:54,10.9995,122.6711,75.47,91,100,8.93
157,Lagoa,PT,2021-02-07 18:06:54,39.05,-27.9833,57.7,73,100,20.27
158,Houston,US,2021-02-07 18:03:29,29.7633,-95.3633,59.0,54,1,9.22
159,Upernavik,GL,2021-02-07 18:04:38,72.7868,-56.1549,18.43,80,15,3.6
